update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
339,improve,-0.0046,0.1326,0.0035,0.0617
340,improve,-0.047,0.0117,0.0032,-0.0411
341,improve,-0.0025,0.0185,0.0041,0.0068
342,buy,-0.0092,0.1774,0.0593,0.0795
343,improve,0.0064,0.0944,0.0031,0.0536
344,improve,0.013,0.0292,0.0036,0.0276
345,improve,0.0199,0.023,0.0036,0.0315
346,improve,0.0187,0.0054,0.0045,0.0214
347,improve,-0.0054,0.0063,0.0043,-0.0023
348,buy,0.0108,0.1248,0.0655,0.0731
349,improve,-0.0077,0.0675,0.0041,0.026
350,buy,-0.0216,0.2923,0.0595,0.1245
351,improve,0.0387,0.0272,0.0048,0.0523
352,improve,-0.0427,0.0044,0.0031,-0.0405
353,improve,-0.0002,0.0437,0.0058,0.0216
354,improve,0.0002,0.0237,0.0018,0.0121
355,buy,0.0766,0.2406,0.0605,0.1969
356,improve,0.0045,0.0298,0.0043,0.0194
357,buy,-0.0006,0.2487,0.0549,0.1237
358,improve,0.0001,0.0465,0.003,0.0233
359,buy,0.0067,0.178,0.0442,0.0956
360,improve,0.0007,0.0365,0.0011,0.0189
361,buy,0.0026,0.1726,0.0392,0.0888
362,improve,-0.0168,0.0999,0.0025,0.0332
363,buy,0.2227,0.1798,0.0433,0.3126
364,improve,0.0016,0.0119,0.0026,0.0075
365,improve,-0.0177,0.0063,0.0039,-0.0146
366,improve,0.0223,0.0114,0.0028,0.028
367,improve,-0.0015,0.0033,0.0021,0.0002
368,buy,-0.0057,0.1232,0.0401,0.0558
369,improve,-0.0037,0.0694,0.0032,0.031
370,buy,0.005,0.2362,0.0364,0.1231
371,improve,0.0005,0.01,0.0022,0.0054
372,buy,0.0143,0.195,0.0337,0.1118
373,improve,-0.0046,0.0856,0.0018,0.0382
374,buy,0.0036,0.2907,0.0353,0.1489
375,improve,-0.0217,0.028,0.0029,-0.0077
376,improve,0.0017,0.009,0.0032,0.0062
377,buy,-0.0039,0.2435,0.0345,0.1178
378,improve,0.1282,0.4338,0.0061,0.3451
379,buy,-0.0064,0.314,0.034,0.1505
380,improve,0.0122,0.0635,0.002,0.044
381,buy,-0.031,0.2402,0.0366,0.0891
382,improve,0.0053,0.0398,0.0028,0.0252
383,improve,0.086,0.0097,0.0028,0.0909
384,improve,0.0177,0.0071,0.0039,0.0212
385,buy,0.0072,0.2082,0.0376,0.1113
386,improve,-0.0256,0.0686,0.0025,0.0087
387,improve,0.0362,0.1309,0.0029,0.1016
388,buy,-0.0,0.2286,0.0349,0.1143
389,improve,0.0015,0.103,0.0025,0.053
390,improve,0.0073,0.0244,0.0025,0.0196
391,improve,0.0072,0.0209,0.0018,0.0177
392,improve,-0.0002,0.0622,0.0012,0.0309
393,buy,0.0218,0.2628,0.0348,0.1532
394,improve,-0.0001,0.088,0.001,0.044
395,buy,0.0075,0.1843,0.0342,0.0996
396,improve,-0.0092,0.0181,0.0012,-0.0002
397,buy,-0.0036,0.2223,0.0365,0.1075
398,improve,0.0049,0.0488,0.0026,0.0293
399,improve,0.0045,0.011,0.0009,0.01
400,buy,0.0025,0.142,0.0374,0.0734
401,improve,0.0003,0.0749,0.0011,0.0377
402,improve,0.0,0.0307,0.0017,0.0154
403,buy,-0.0117,0.1493,0.0381,0.063
404,improve,0.0108,0.0759,0.0014,0.0488
405,buy,-0.0332,0.212,0.0378,0.0728
406,improve,0.001,0.1123,0.0011,0.0571
407,improve,0.1147,0.0073,0.0015,0.1183
408,buy,-0.015,0.2013,0.0378,0.0856
409,improve,0.001,0.1476,0.0021,0.0748
410,buy,0.0402,0.3208,0.0384,0.2005
411,improve,-0.0072,0.2489,0.0031,0.1172
