update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
336,buy,0.0016,0.5555,0.4269,0.279
337,improve,-0.0071,0.0442,0.003,0.015
338,improve,-0.033,0.0403,0.0031,-0.0129
339,buy,0.0026,0.2008,0.3951,0.1026
340,improve,0.005,0.0791,0.0051,0.0446
341,improve,-0.0006,0.0583,0.0079,0.0286
342,buy,0.0164,0.4036,0.3426,0.2179
343,improve,0.0236,0.0364,0.0047,0.0418
344,improve,0.007,0.0102,0.0035,0.0121
345,improve,-0.0254,0.039,0.0056,-0.0059
346,improve,-0.0269,0.1734,0.0038,0.0598
347,buy,-0.0127,0.2325,0.3316,0.1032
348,improve,0.0,0.0381,0.0038,0.019
349,buy,0.0446,0.2368,0.3564,0.1626
350,improve,0.01,0.0568,0.01,0.0385
351,improve,-0.0105,0.0359,0.0039,0.0074
352,buy,0.0025,0.1348,0.3539,0.0696
353,improve,0.0017,0.3158,0.008,0.1596
354,improve,-0.0003,0.0994,0.0057,0.0494
355,buy,0.0316,0.4761,0.4358,0.2692
356,improve,-0.0305,0.0161,0.0035,-0.0225
357,improve,0.0158,0.0414,0.0057,0.0365
358,buy,-0.006,0.1702,0.5061,0.0786
359,improve,0.0,0.1863,0.0077,0.0931
360,buy,0.0522,0.176,0.4899,0.1398
361,improve,-0.0194,0.0437,0.0081,0.0025
362,buy,0.012,0.2362,0.4726,0.1296
363,improve,0.0014,0.0722,0.0058,0.0375
364,buy,0.1564,0.6058,0.419,0.4589
365,improve,-0.0034,0.0441,0.0055,0.0186
366,improve,0.0038,0.0379,0.0026,0.0227
367,improve,0.0093,0.0072,0.0031,0.0129
368,buy,-0.006,0.2735,0.431,0.1303
369,improve,-0.0248,0.0359,0.0047,-0.0068
370,buy,0.0037,0.2417,0.4707,0.1241
371,improve,0.0005,0.0253,0.0041,0.0131
372,buy,0.0224,0.2123,0.5172,0.128
373,improve,0.0075,0.4731,0.0022,0.244
374,buy,0.0179,0.095,0.4785,0.0649
375,improve,-0.02,0.4321,0.0031,0.196
376,buy,0.0056,0.3521,0.4109,0.1812
377,improve,0.0026,0.0643,0.0059,0.0347
378,buy,0.003,0.4166,0.3133,0.211
379,improve,0.0103,0.0765,0.0027,0.0485
380,buy,-0.0114,0.4105,0.2779,0.1936
381,improve,-0.0118,0.027,0.0059,0.0017
382,buy,-0.0145,0.2004,0.2643,0.0854
383,improve,0.027,0.0721,0.0048,0.063
384,buy,0.0235,0.4551,0.2465,0.2509
385,improve,-0.0043,0.0483,0.006,0.0199
386,buy,-0.0533,0.4052,0.2876,0.149
387,improve,-0.0014,0.0326,0.0037,0.0149
388,improve,0.0051,0.0207,0.0026,0.0154
389,buy,-0.0315,0.5002,0.2692,0.2183
390,improve,-0.002,0.0134,0.0019,0.0047
391,buy,0.0818,0.1302,0.3729,0.1465
392,improve,0.0067,0.2205,0.0019,0.117
393,buy,-0.0434,0.399,0.4093,0.1557
394,improve,0.0011,0.1053,0.0048,0.0538
395,improve,-0.0001,0.0163,0.0025,0.0081
396,improve,0.0145,0.0172,0.0022,0.0231
397,improve,0.0005,0.0241,0.0019,0.0125
398,buy,0.0207,0.3607,0.3007,0.2008
399,improve,0.0008,0.006,0.0022,0.0038
400,buy,-0.0537,0.2243,0.223,0.0582
401,improve,-0.0042,0.0363,0.0025,0.014
402,buy,-0.002,0.3094,0.2562,0.1525
403,improve,-0.1456,0.1927,0.0024,-0.0493
404,improve,0.0123,0.0152,0.0031,0.0199
405,improve,0.0128,0.0599,0.0018,0.0427
406,buy,0.0068,0.2868,0.2678,0.1499
407,improve,0.0237,0.0608,0.0035,0.0541
408,buy,0.0349,0.4808,0.206,0.2751
409,improve,-0.0037,0.0641,0.0032,0.0283
410,buy,0.01,0.1999,0.1824,0.1097
411,improve,-0.0017,0.1213,0.002,0.0589
412,buy,0.0,0.3252,0.1918,0.1624
413,improve,0.0005,0.0068,0.002,0.0039
414,improve,0.1147,0.0594,0.0026,0.1444
415,buy,-0.0469,0.1592,0.1969,0.0326
416,improve,0.0084,0.5311,0.0027,0.274
417,buy,0.0369,0.1796,0.2014,0.1265
418,improve,-0.0046,0.0765,0.0025,0.0336
419,buy,-0.0106,0.3118,0.1879,0.1452
420,improve,-0.0056,0.0463,0.0034,0.0175
421,buy,-0.0302,0.295,0.2097,0.1171
422,improve,0.0187,0.0703,0.0024,0.0539
423,buy,-0.0254,0.7507,0.251,0.3497
424,improve,-0.0043,0.0606,0.0025,0.026
425,buy,-0.384,0.1048,0.2457,-0.3318
426,improve,-0.0012,0.4623,0.0014,0.2299
427,buy,0.2835,0.2803,0.242,0.4234
428,improve,0.0038,0.0528,0.0022,0.0302
429,improve,0.0,0.0224,0.0014,0.0112
430,improve,0.0482,0.0329,0.0024,0.0646
431,improve,0.0096,0.0516,0.0016,0.0354
432,buy,-0.015,0.1989,0.2356,0.0842
433,improve,-0.0046,0.2179,0.0022,0.1043
434,improve,0.0623,0.0333,0.0019,0.0789
435,improve,0.002,0.0364,0.0019,0.0202
436,improve,0.0,0.014,0.0016,0.007
437,buy,-0.0021,0.2237,0.1874,0.1095
438,improve,-0.0145,0.244,0.0018,0.1075
439,buy,-0.0269,0.5079,0.1547,0.2269
440,improve,0.0027,0.0352,0.002,0.0203
441,improve,-0.0076,0.0099,0.002,-0.0026
442,buy,-0.0564,0.2715,0.1394,0.0792
443,improve,0.0054,0.1131,0.0032,0.0619
444,buy,-0.0082,0.3464,0.1631,0.1649
445,improve,-0.0127,0.0178,0.0011,-0.0038
446,buy,-0.1374,0.456,0.1678,0.0904
447,improve,0.0055,0.0088,0.0016,0.0099
448,improve,-0.0571,0.0073,0.0019,-0.0535
449,buy,0.0049,0.3433,0.1723,0.1764
450,improve,-0.079,0.0339,0.0016,-0.0621
451,improve,-0.0152,0.0162,0.0015,-0.0071
452,buy,0.0651,0.128,0.1403,0.1289
453,improve,0.0007,0.1877,0.0027,0.0946
454,improve,-0.0028,0.0323,0.0021,0.0133
455,improve,-0.0385,0.0448,0.0021,-0.0161
456,buy,0.0121,0.2662,0.1284,0.1451
457,improve,0.0167,0.1246,0.0014,0.079
458,improve,-0.0117,0.0431,0.0024,0.0099
459,improve,-0.0113,0.1102,0.0022,0.0437
460,improve,0.0123,0.055,0.0014,0.0398
461,improve,-0.0001,0.0206,0.001,0.0102
462,buy,0.0002,0.2144,0.1325,0.1072
463,improve,-0.1161,0.1373,0.0015,-0.0474
464,improve,0.0054,0.0266,0.0011,0.0187
465,improve,-0.1086,0.0247,0.0022,-0.0962
466,buy,0.0388,0.3941,0.1169,0.2358
467,improve,0.0001,0.008,0.0022,0.0041
468,improve,-0.033,0.0928,0.0015,0.0134
469,improve,0.0,0.0566,0.0015,0.0283
470,buy,0.0426,0.2403,0.1405,0.1626
471,improve,-0.0018,0.0456,0.0013,0.021
472,improve,0.0497,0.0366,0.0014,0.068
473,buy,-0.0001,0.4114,0.1091,0.2055
474,improve,0.0058,0.095,0.0018,0.0533
475,buy,0.0162,0.1892,0.1193,0.1106
476,improve,0.0007,0.0337,0.0015,0.0176
477,improve,0.1109,0.0082,0.0012,0.115
478,buy,0.0147,0.586,0.1489,0.3076
479,improve,-0.0074,0.0073,0.0006,-0.0037
480,buy,-0.0016,0.21,0.1306,0.1033
481,improve,-0.0006,0.2114,0.0011,0.1051
482,buy,-0.0169,0.3283,0.1263,0.1471
483,improve,0.0303,0.0426,0.0012,0.0516
484,improve,0.0279,0.0236,0.0014,0.0397
485,buy,-0.0014,0.1838,0.1293,0.0904
486,improve,0.0025,0.1463,0.0016,0.0756
487,improve,-0.0015,0.0563,0.0016,0.0266
488,improve,-0.2393,0.0168,0.0013,-0.2309
