update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
527,improve,0.0108,0.0201,0.0033,0.0208
528,buy,0.047,0.1456,0.0309,0.1197
529,improve,-0.0052,0.0781,0.0019,0.0339
530,buy,-0.0353,0.2319,0.0305,0.0806
531,improve,-0.0208,0.0249,0.0044,-0.0083
532,improve,-0.0136,0.0068,0.0029,-0.0101
533,improve,0.0006,0.0115,0.0034,0.0064
534,improve,-0.0149,0.0035,0.0025,-0.0131
535,improve,0.0052,0.0091,0.0041,0.0098
536,improve,-0.0044,0.0068,0.0025,-0.001
537,buy,-0.0124,0.3417,0.0292,0.1584
538,improve,-0.0081,0.1196,0.0037,0.0516
539,improve,-0.0287,0.0778,0.0029,0.0102
540,buy,0.0361,0.214,0.0319,0.143
541,improve,-0.0752,0.0796,0.0035,-0.0354
542,improve,0.0062,0.0063,0.0019,0.0093
543,improve,0.0003,0.0935,0.0038,0.0471
544,improve,-0.0133,0.0092,0.0024,-0.0088
545,improve,0.008,0.0199,0.0018,0.018
546,buy,-0.0,0.1637,0.0327,0.0818
547,improve,0.0006,0.0354,0.003,0.0182
548,buy,0.0223,0.1225,0.0331,0.0835
